,primaryTitle,isAdult,startYear,runtimeMinutes,genres,PolloRating
52290,Doin' Time on Planet Earth,0,1988,85,"Comedy,Sci-Fi",0.24986397129066304
180542,"Hard Revenge, Milly: Bloody Battle",0,2009,72,"Action,Drama,Sci-Fi",0.249795074408135
48786,Endgame - Bronx lotta finale,0,1983,98,"Action,Sci-Fi,Thriller",0.24976758798363102
6504,Gold,0,1934,120,"Crime,Sci-Fi",0.24971872328025588
265402,Last Journey of Paul W.R.,0,2020,87,"Adventure,Drama,Sci-Fi",0.24965334379012924
50678,Xaver,0,1986,90,"Comedy,Sci-Fi",0.24960522879135727
53121,Voyage of the Rock Aliens,0,1984,97,"Comedy,Musical,Sci-Fi",0.24949139269613263
251239,The Dark Tapes,0,2016,98,"Horror,Mystery,Sci-Fi",0.24940533641259763
31286,Way... Way Out,0,1966,105,"Comedy,Sci-Fi",0.24935489896452764
286969,Night Raiders,0,2021,101,"Action,Sci-Fi,Thriller",0.2492794611343816
67505,School in the Crosshairs,0,1981,90,"Fantasy,Sci-Fi",0.24926242771597826
145580,2 Epic,0,2007,170,Sci-Fi,0.24922714020790002
61775,Alien Visitor,0,1997,92,"Drama,Sci-Fi",0.2492121433208692
48693,Creature,0,1985,95,"Horror,Sci-Fi",0.24918136622999418
175320,Action Replayy,0,2010,129,"Comedy,Romance,Sci-Fi",0.24906332350862845
273076,Transference,0,2017,\N,"Sci-Fi,Thriller",0.24902358959944826
188710,My iz budushchego 2,0,2010,98,"Action,Adventure,Sci-Fi",0.24897257710609494
202073,Sector 7,0,2011,101,"Action,Sci-Fi",0.24895609239363312
171318,Demonic,0,2021,104,"Drama,Horror,Sci-Fi",0.24895171760022625
112721,The Hyperboloid of Engineer Garin,0,1965,96,Sci-Fi,0.248776638575357
261381,Man Divided,0,2017,87,"Drama,Sci-Fi",0.2487752554625441
14083,Captain America,0,1944,244,"Action,Adventure,Sci-Fi",0.24871025942915181
30188,Blood Beast from Outer Space,0,1965,85,"Horror,Sci-Fi",0.24850024247275285
145887,El Camino,0,2020,123,Sci-Fi,0.2484532057957236
25633,First Spaceship on Venus,0,1960,93,Sci-Fi,0.24836934146339265
42934,Die Hamburger Krankheit,0,1979,117,"Horror,Sci-Fi",0.24812561677855233
24686,The Monster of Piedras Blancas,0,1959,71,"Horror,Sci-Fi",0.24805379098764568
127609,Martian Successor Nadesico - The Motion Picture: Prince of Darkness,0,1998,87,"Action,Animation,Sci-Fi",0.24801354330940706
273169,LX 2048,0,2020,103,"Drama,Sci-Fi,Thriller",0.24761175372016636
